Latin Paragraph	English Paragraph (Manual)
5. Tunc videbitur sapiens in hoc mundo fuisse, qui pro Christo didicit stultus esse et despectus. Tunc placebit omnis tribulatio patienter perpessaet omnis iniquitas oppilabit os suum.Tunc gaudebit omnis devotus et merebit omnis religiosus. Tunc plus exultabit caro afflicta, quam si semper in deliciis fuisset nutrita. Tunc splendebit habitus vilis, et obtenebrescet vestis subtilis. Tunc plus laudabitur pauperculum domicilium, quam deauratum palatium. Tunc plus juvabit constans pacientia, quam omnis mundi potentia. Tunc amplius exaltabitur simplex obedientia, quam omnis sæcularis astutia.	5. Then shall it be seen that he was the wise man in this world who learned to be a fool and despised for Christ. Then shall all tribulation patiently borne delight us, while the mouth of the ungodly shall be stopped. Then shall every godly man rejoice, and every profane man shall mourn. Then the afflicted flesh shall more rejoice than if it had been alway nourished in delights. Then the humble garment shall put on beauty, and the precious robe shall hide itself as vile. Then the little poor cottage shall be more commended than the gilded palace. Then enduring patience shall have more might than all the power of the world. Then simple obedience shall be more highly exalted than all worldly wisdom.
6. Tunc plus lætificabit pura et simplex conscientia et bona quam docta philosophia. Tunc plus ponderabit contemptus divitiarum, quam totus thesaurus terrigenarum. Tunc magis consolaberis super devota oratione, quam super delicata comestione. Tunc potius gaudebis de fervato silentio, quam de longa fabulatione. Tunc plus valebunt sancta sancta opera, quam multa pulchra verba. Tunc  plus valebit stricta vita et ardus poenitntia, quam omnis delectatio terrena. Disce nunc in modico pati, ut tunc a gravioribus valeas liberari. Hic primo proba quid possis pati postea. Si nunc tam parum non vales sustinere, quomodo poteris æterna tormenta sufferre? Si modo modica passio te tam impatientem efficit, tunc gehenna quid facietur? Ecce vere non potes modo duo gaudia habere, delectari hic in mundo, es postea regnare cum Christo.	6. Then a pure and good conscience shall more rejoice than learned philosophy. Then contempt of riches shall have more weight than all the treasure of the children of this world. Then shalt thou find more comfort in having prayed devoutly than in having fared sumptuously. Then thou wilt rather rejoice in having kept silence than in having made long speech. Then holy deeds shall be far stronger than many fine words. Then a strict life and sincere penitence shall bring deeper pleasure than all earthly delight. Learn now to suffer a little, that then thou mayest be enabled to escape heavier sufferings. Prove first here, what thou art able to endure hereafter. If now thou art able to bear so little, how wilt thou be able to endure eternal torments? If now a little suffering maketh thee so impatient, what shall hell-fire do then? Behold of a surety thou art not able to have two Paradises, to take thy fill or delight here in this world, and to reign with Christ hereafter.
7. Si usque in hodiernum diem semper in honoribus et voluptatibus vixisses, quid totum tibi profuisset, si jam in instanti mori contingeret? Omnia ergo vanitas, præter amare Deum, et illi foli servire. Qui enim Deum ex toto corde amat, nec mortem, nec supplicium, nec judcium, nec infernum metuit, quia perfectus amor securum ad Deum accessum facit. Quem adhuc peccare delectat, non mirum, si mortem, judicium timeat. Bonum tamen est ut, si necdum amor a malo te revocat, saltem timor gehenæ te coerceat. Qui vero timorem Dei postponit, diu stare in bono non valebit, sed diaboli laqueos citius incurret.	7. If even unto this day thou hadst ever lived in honours and pleasures, what would the whole profit thee if now death came to thee in an instant? All therefore is vanity, save to love God and to serve Him only. For he who loveth God with all his heart feareth not death, nor punishment, nor judgment, nor hell, because perfect love giveth sure access to God. But he who still delighteth in sin, no marvel if he is afraid of death and judgment. Nevertheless it is a good thing, if love as yet cannot restrain thee from evil, that at least the fear of hell should hold thee back. But he who putteth aside the fear of God cannot long continue in good, but shall quickly fall into the snares of the devil.
Cap. 25. De ferventi emendatione totius vitæ.	CHAPTER XXV Of the zealous amendment of our whole life
1. Esto vigilans et diligens in Dei fervitio, et cogita frequenter ad quid venisti, et cur sæculum reliquisti. Nonne ut Deo viveres, et spiritualis fieres? Igitur ad profectum ferveas, quia mercedem laborum tuorum in brevi recipies. Nec erit tunc amplius timor aut dolor in finibus tuis. Modicum nunc laborabis, et magnam requiem, imo perpetuam lætitiam, invenies. Si tu permanseris fidelis et fervidus in agendo, Deus procul dubio erit fidelis, et locuples in retribuendo. Spem bonam retinere debes, quod ad palmam pervenies, sed securitatem capere non oportet ne torpeas, aut elatus fias.	1. Be thou watchful and diligent in God’s service, and bethink thee often why thou hast renounced the world. Was it not that thou mightest live to God and become a spiritual man? Be zealous, therefore, for thy spiritual profit, for thou shalt receive shortly the reward of thy labours, and neither fear nor sorrow shall come any more into thy borders. Now shalt thou labour a little, and thou shalt find great rest, yea everlasting joy. If thou shalt remain faithful and zealous in labour, doubt not that God shall be faithful and bountiful in rewarding thee. It is thy duty to have a good hope that thou wilt attain the victory, but thou must not fall into security lest thou become slothful or lifted up.
2. Cum enim quidam anxius inter metum et spem frequenter fluctuaret, et quadam vice moerore confectus in ecclesia ante quoddam altare se in oratione prostravisset, hæc intra se resolvit dicens: O, si scirem, quod adhuc perserveratus essem; statimque audivit divinum intus responsum. Quid, si hoc scires, quid facere velles? Fac nunc quod facere velles, et bene securus eris. Moxque consolatus et confortatus divinæ se commisit voluntati, et cessavit anxia fluctuatio. Noluitque curiose se investigare, ut sciret quæ sibi essent futura, sed magis studuit inquirere quæ esset voluntas Dei beneplacens et perfecta ad omne opus inchoandum et perficiendum.	2. A certain man being in anxiety of mind, continually tossed about between hope and fear, and being on a certain day overwhelmed with grief, cast himself down in prayer before the altar in a church, and meditated within himself, saying, “Oh! if I but knew that I should still persevere,” and presently heard within him a voice from God, “And if thou didst know it, what wouldst thou do? Do now what thou wouldst do then, and thou shalt be very secure.” And straightway being comforted and strengthened, he committed himself to the will of God and the perturbation of spirit ceased, neither had he a mind any more to search curiously to know what should befall him hereafter, but studied rather to inquire what was the good and acceptable will of God, for the beginning and perfecting of every good work.
3.Spera in Domino et fac bonitatem,ait Propheta,et inhabita terram, et pasceris in divitiis ejus.Unum est quod multos a profectu et ferventi emendatione retrahit: horror difficultatis seu labor certaminis. Illi maxime præ aliis in virtutibus proficiunt, qui ea quæ sibi magis gravia et contraria sunt vincere nituntur. Nam ibi homo plus proficit, et gratiam meretur ampliorem, ubi magis se ipsum vincit, et in spiritu mortificat.	3. Hope in the Lord and be doing good, saith the Prophet; dwell in the land and thou shalt be fed(1) with its riches. One thing there is which holdeth back many from progress and fervent amendment, even the dread of difficulty, or the labour of the conflict. Nevertheless they advance above all others in virtue who strive manfully to conquer those things which are most grievous and contrary to them, for there a man profiteth most and meriteth greater grace where he most overcometh himself and mortifieth himself in spirit.
4. Sed non omnes habent æque multum ad vincendum et moriendum. Diligens autem æmulator valentior erit ad proficiendum, etiamsi plures habeat passiones, quam alius bene morigeratus, minus tamen fervens ad virtutes. Duo specialiter ad magnam emendationem juvant, videlicet subtrahere se violenter ad quod natura vitiose inclinatur, et ferventer instare pro bono, quo amplius quis indiget. Illa etiam magis studeas cavere et vincere quæ tibi in aliis frequentius displicent.	4. But all men have not the same passions to conquer and to mortify, yet he who is diligent shall attain more profit, although he have stronger passions, than another who is more temperate of disposition, but is withal less fervent in the pursuit of virtue. Two things specially avail unto improvement in holiness, namely firmness to withdraw ourselves from the sin to which by nature we are most inclined, and earnest zeal for that good in which we are most lacking. And strive also very earnestly to guard against and subdue those faults which displease thee most frequently in others.
5. Ubique profectum tuum capies ut si bona exempla videas vel audias, de imitandis accendaris. Si quid autem reprehensibile confideraveris, cave ne idem facias, aut si aliquando fecisti, citius emendare te studeas. Sicut oculus tuus alios confiderat, sic iterum ab aliis notaris. Quam jucundum et dulce est videre fervidos et devotos Fratres bene morigeratos et disciiplinatos. Quam triste est et grave videre inordinate ambulantes, qui ea ad quæ vocati sunt non exercent. Quam nocivum est negligere vocationis suæ propositum, et ad non comissia sensum inclinare.	5. Gather some profit to thy soul wherever thou art, and wherever thou seest or hearest good examples, stir thyself to follow them, but where thou seest anything which is blameworthy, take heed that thou do not the same; or if at any time thou hast done it, strive quickly to amend thyself. As thine eye observeth others, so again are the eyes of others upon thee. How sweet and pleasant is it to see zealous and godly brethren temperate and of good discipline; and how sad is it and grievous to see them walking disorderly, not practising the duties to which they are called. How hurtful a thing it is to neglect the purpose of their calling, and turn their inclinations to things which are none of their business.
6. Memor esto arrepti propositi, et imaginem crucifixi tibi propone. Bene verecundari potes inspecta vita Jesu Christi, quia necdum magis illi te conformare studuisti, licet diu in via Dei fuisti. Religiosus qui se intente et devote in sanctissima vita et passione Domini exercet, omnia utilia et necessaria sibi abundanter ibi inveniet. Nec opus est ut extra Jesum aliquid melius quærat. O, si Jesus crucifixus in cor nostrum veniret, quam cito et sufficienter docti essemus. Religiosus fervidus bene omnia portat et capit, quæ illi jubentur.	6. Be mindful of the duties which thou hast undertaken, and set always before thee the remembrance of the Crucified. Truly oughtest thou to be ashamed as thou lookest upon the life of Jesus Christ, because thou hast not yet endeavoured to conform thyself more unto Him, though thou hast been a long time in the way of God. A religious man who exercises himself seriously and devoutly in the most holy life and passion of our Lord shall find there abundantly all things that are profitable and necessary for him, neither is there need that he shall seek anything better beyond Jesus. Oh! if Jesus crucified would come into our hearts, how quickly, and completely should we have learned all that we need to know!
7. Religiosus negligens et tepidus habet tribulationem super tribulationem et ex omni parte patitur angustiam, quia interiori consolatione caret, et exteriorem quærere prohibetur. Religiosus extra disciplinam vivens gravi patet ruinæ. Qui laxiora quærit et remissiora, semper in angustiis erit, quia unum aut reliquum displicebit sibi.	7. He who is earnest receiveth and beareth well all things that are laid upon him. He who is careless and lukewarm hath trouble upon trouble, and suffereth anguish upon every side, because he is without inward consolation, and is forbidden to seek that which is outward. He who is living without discipline is exposed to grievous ruin. He who seeketh easier and lighter discipline shall always be in distress, because one thing or another will give him displeasure.
8. Quomodo faciunt tam multi alii Religiosi qui satis arctati sunt sub disciplina claustrali, rare execunt, abstracte vivunt, pauperrime comedunt, grosse vestiuntur, multum laborant, parum loquuntur, diu vigilant, mature surgunt, et orationes prolongant, frequenter legunt et se in omni disciplina custodiunt. Attende Cartusienses et Benedictinos, et Cistercienses ac diversæ religionis Monachos et Moniales qualiter omni nocte ad psallendum Deo surgunt. Et ideo turpe esset, ut tu debeas in tam sancto opere dormitare et pigritare, ubi tanta multitudo Religiosorum incipit Deo jubilare.	8. How do so many others, Religious men, live—who are strictly confined under monastic discipline, seldom go forth, dwell apart, eat in utmost poverty, clothe themselves coarsely, labour much, speak little, keep long vigils, rise early, prolong their prayers, read frequently, and keep themselves under strict rule in all things? Consider the Carthusians, the Benedictines, the Cistercians, and monks and nuns of many orders, how they rise each night to sing praises unto God. And shall it not be a shame unto thee to sleep and grow slothful in so holy a work, while such a multitude of Religious lift up their voices to rejoice in God?
9. O, si nihil aliud faciendum incumberet, nisi Dominum Deum nostrum tot corde et ore laudare. O, si nunquam indigeres comedere, nec bibere, nec dormire, sed semper posses Deum laudare, et solummodo spiritualibus studiis vacare, tunc multo felicior esses, quam modo carni ex qualicumque necessitate serviens. Utinam non essent istæ necessitates, sed solummodo spirituales animæ refectiones, quas heu satis raro degustamus.	9. O! if no other duty lay upon us but to praise the Lord our God with our whole heart and voice! Oh! if thou never hadst need to eat or drink, or sleep, but wert always able to praise God, and to give thyself to spiritual exercises alone; then shouldst thou be far happier than now, when for so many necessities thou must serve the flesh. O! that these necessities were not, but only the spiritual refreshments of the soul, which alas we taste too seldom.
10. Quando homo ad hoc pervenit, quod de nulla creatura consolationem quærit, tunc ei Deus primo perfecte sapere incipit, tunc etiam bene contentus de omni eventu rerum erit, tunc nec pro magno lætabitur, nec pro modico contristabitur, sed ponit se integre, et fiducialiter in Deo, qui est ei omnia in omnibus, cui nihil utique parit, nec moritur, sed omnia ei vivunt, et ad nutum incunctanter deserviunt.	10. When a man hath come to this, that he seeketh comfort from no created thing, then doth he perfectly begin to enjoy God, then also will he be well contented with whatsoever shall happen unto him. Then will he neither rejoice for much nor be sorrowful for little, but he committeth himself altogether and with full trust unto God, who is all in all to him, to whom nothing perisheth nor dieth, but all things live to Him and obey His every word without delay. 
11. Memento semper finis, et quia perditum non redit tempus, sine sollicitudine, et diligentia nunquam acquires virtutes. Si incipis tepescere, incipis male habere. Si autem dederis te ad fervorem, invenies magnam pacem, et senties leviorem laborem propter Dei gratiam et virtutis amorem. Homo fervidus et diligens ad omnia est paratus. Major labor est resistere vitiis et passionibus, quam corporalibus insudare laboribus. Qui parvos non devitat defectus, paulatim labitur ad majora. Gaudebis semper de vespere, si diem expendes fructuose. Vigila semper te ipsum et quidquid de aliis sit non negligas te ipsum. Tantum proficies, quantum tibi ipsi vim intuleris. Amen.	11. Remember always thine end, and how the time which is lost returneth not. Without care and diligence thou shalt never get virtue. If thou beginnest to grow cold, it shall begin to go ill with thee, but if thou givest thyself unto zeal thou shalt find much peace, and shalt find thy labour the lighter because of the grace of God and the love of virtue. A zealous and diligent man is ready for all things. It is greater labour to resist sins and passions than to toil in bodily labours. He who shunneth not small faults falleth little by little into greater. At eventide thou shalt always be glad if thou spend the day profitably. Watch over thyself, stir thyself up, admonish thyself, and howsoever it be with others, neglect not thyself. The more violence thou dost unto thyself, the more thou shall profit. Amen.
