Liber PrimusAdmonitiones ad Vitam spiritualem utiles.	THE FIRST BOOK ADMONITIONS PROFITABLE FOR THE SPIRITUAL LIFE
Cap. 6. De lætitia bonæ conscientiæ	CHAPTER VI Of the joy of a good conscience
1. Gloria bonis hominibus testimonium bonæ conscientiæ. Habe bonam conscientiam et semper habebis lætitiam. Bona conscientia valde multa potest portare, et valde læta est inter adversa. Mala conscientia semper timida, et inquieta. Suaviter requiesces, si te cor tuum non reprehenderit. Noli lætari, nisi cum benefeceris. Mali nunquam habent veram lætitiam, nec internam sentiunt pacem, quianon est pax impiis, dicit Dominus.Et si dixerint: in pace sumus, non venient super nos mala; et quis nobis nocere audebit? non credas eis, quoniam repente exsurget ira Dei, et in nihilum redigentur actus eorum, et cogitationes eorum peribunt.	1. The testimony of a good conscience is the glory of a good man. Have a good conscience and thou shalt ever have joy. A good conscience is able to bear exceeding much, and is exceeding joyful in the midst of adversities; an evil conscience is ever fearful and unquiet. Thou shalt rest sweetly if thy heart condemn thee not. Never rejoice unless when thou hast done well. The wicked have never true joy, nor feel internal peace, for there is no peace, saith my God, to the wicked. And if they say “we are in peace, there shall no harm happen unto us, and who shall dare to do us hurt?” believe them not, for suddenly shall the wrath of God rise up against them, and their deeds shall be brought to nought, and their thoughts shall perish.
2.Gloriari in tribulationibusnon est grave amanti, Sic enim gloriari estin cruce Domini gloriari.Brevis gloria quæ ab hominibus datur et accipitur. Mundi gloriam semper comitatur tristitia. Bonorum gloria in conscientiis eorum, et non in ore hominum. Justorum lætitia de Deo et in Deo est, et gaudium eorum de veritate. Qui veram et æternam gloriam desiderat, temporalem non curat. Et qui temporalem quærit gloriam, aut non ex animo contemnit, minus amare convincitur cælestem. Magnam habet cordis tranquillitatem, qui nec laudes curat, nec vituperia.	2. To glory in tribulation is not grievous to him who loveth; for such glorying is glorying in the Cross of Christ. Brief is the glory which is given and received of men. Sadness always goeth hand in hand with the glory of the world. The glory of the good is in their conscience, and not in the report of men. The joy of the upright is from God and in God, and their joy is in the truth. He who desireth true and eternal glory careth not for that which is temporal; and he who seeketh temporal glory, or who despiseth it from his heart, is proved to bear little love for that which is heavenly. He who careth for neither praises nor reproaches hath great tranquillity of heart.
3. Facile erit contentus et pacatus, cuius conscientia munda est. Non es sanctior, si laudaris, nec vilior, si vituperaris. Quod es hoc es, nec melior dici vales, quam Deo teste sis, si attendis quid apud te sis intus, non curabis quid de te loquantur homines foris. Homo videt in facie, Deus autem in corde. Homo confiderat actus, Deus pensat intentionem. Bene semper agere, et modicum de se tenere humilis animæ indicium est. Nolle consolari ab aliqua creatura magnæ puritatis, et internæ fiduciæ indicium est.	3. He will easily be contented and filled with peace, whose conscience is pure. Thou art none the holier if thou art praised, nor the viler if thou art reproached. Thou art what thou art; and thou canst not be better than God pronounceth thee to be. If thou considerest well what thou art inwardly, thou wilt not care what men will say to thee. Man looketh on the outward appearance, but the Lord looketh on the heart:man looketh on the deed, but God considereth the intent. It is the token of a humble spirit always to do well, and to set little by oneself. Not to look for consolation from any created thing is a sign of great purity and inward faithfulness.
4. Qui nullum extrinsecus pro se testimonium quærit, liquet quod Deo se totaliter commisit.Non enim, qui se ipsum commendat, ille probatus est,ait beatus Paulus,sed quem Deus commendat.Ambulare cum Deo intus, nec aliqua affectione teneri foris, status est interni hominis.	4. He that seeketh no outward witness on his own behalf, showeth plainly that he hath committed himself wholly to God. For not he that commendeth himself is approved, as St. Paul saith, but whom the Lord commendeth. To walk inwardly with God, and not to be held by any outer affections, is the state of a spiritual man.
Cap. 7. De amore Jesu super omnia.	CHAPTER VII Of loving Jesus above all things
1. Beatus qui intelligit quid sit amare Jesum, et contemnere se ipsum propeter Deum? Oportet dilectum propter dilectum relinquere, quia Jesus vult solus super omnia amari. Dilectio creaturæ fallax et instabilis, dilectio Jesu felix et perseverabilis. Qui adhæret creaturæ, cadet cum labili, qui amplectitur Jesum, firmabitur in Eum. Illum dilige, et amicum tene tibi, qui omnibus recedentibus te non relinquet, nec patietur in fine perire. Ab omnibus oportet aliquando te separari, sive velis, sive nolis.	1. Blessed is he who understandeth what it is to love Jesus, and to despise himself for Jesus’ sake. He must give up all that he loveth for his Beloved, for Jesus will be loved alone above all things. The love of created things is deceiving and unstable, but the love of Jesus is faithful and lasting. He who cleaveth to created things will fall with their slipperiness; but he who embraceth Jesus will stand upright for ever. Love Him and hold Him for thy friend, for He will not forsake thee when all depart from thee, nor will he suffer thee to perish at the last. Thou must one day be separated from all, whether thou wilt or wilt not.
2. Tene te apud Jesum vivens et moriens et illius fedelitati te committe, qui omnibus deficientibus solus potestte adjuvare. Dilectus tuus talis est naturæ, ut alienum non velit admittere, sed solus vult cor tuum habere, et tanquam rex in proprio throno sedere. Si scires te ab omni creatura evacuare, Jesus libenter tecum habitaret. Pene totum perditum invenies, quidquid extra Jesum in hominibus posueris. Non confidas, nec innitaris super calamum ventosum, quiaomnis caro fœnum, et omnis gloria ejus et flosfœni cadet.	2. Cleave thou to Jesus in life and death, and commit thyself unto His faithfulness, who, when all men fail thee, is alone able to help thee. Thy Beloved is such, by nature, that He will suffer no rival, but alone will possess thy heart, and as a king will sit upon His own throne. If thou wouldst learn to put away from thee every created thing, Jesus would freely take up His abode with thee. Thou wilt find all trust little better than lost which thou hast placed in men, and not in Jesus. Trust not nor lean upon a reed shaken with the wind, because all flesh is grass, and the goodliness thereof falleth as the flower of the field.
3. Cito deciperis, si ad externam hominum apparentiam tantum aspexeris. Si autem tuum in aliis quæris solatium, et lucrum, sæpe senties detrimentum. Si quæris in omnibus Jesum, invenies utique Jesum. Si autem quæris te ipsum, invenies etiam te ipsum, sed ad tuam perniciem. Plus enim homo nocivior est sibi, si Jesum non quærit, quam totus mundus, et omnes sui adversarii.	3. Thou wilt be quickly deceived if thou lookest only upon the outward appearance of men, for if thou seekest thy comfort and profit in others, thou shalt too often experience loss. If thou seekest Jesus in all things thou shalt verily find Jesus, but if thou seekest thyself thou shalt also find thyself, but to thine own hurt. For if a man seeketh not Jesus he is more hurtful to himself than all the world and all his adversaries.
Cap. 8. De familiari amicitia Jesu.	CHAPTER VIII Of the intimate love of Jesus
1. Quando Jesus adest, totum bonum est, nec quicquam difficile videtur. Quando vero Jesus non adest, totum durum est. Si autuem Jesus unum verbum loquitur tantum, magna consolatio sentitur. Nonne ne Maria Magdalena statim surreit de loco, in quo flevit, quando Martha illi dixit,Magister adet et vocat te?Felix hora quando Jesus vocat te de lacrymis ad gaudium spiritus. Quam aridus et durus es sine Jesu. Quam insipiens et vanus, si cupis aliquid extra Jesum. Nonne hoc est majus damnum, quam si totum perderes mundum?	1. When Jesus is present all is well and nothing seemeth hard, but when Jesus is not present everything is hard. When Jesus speaketh not within, our comfort is nothing worth, but if Jesus speaketh but a single word great is the comfort we experience. Did not Mary Magdalene rise up quickly from the place where she wept when Martha said to her, The Master is come and calleth for thee? Happy hour when Jesus calleth thee from tears to the joy of the spirit! How dry and hard art thou without Jesus! How senseless and vain if thou desirest aught beyond Jesus! Is not this greater loss than if thou shouldst lose the whole world?
2. Quid habet mundus conferre sine Jesu? Esse sine Jesu est gravis infernus, et esse cum Jesu dulcis paradisus. Si fuerit tecum Jesus, invenit thesaurum bonus, immo bonum super omne bonum. Et qui perdidit Jesum, perdidit nimis multum et plus quam totum mundum. Pauperrimus est qui vivit sine Jesu, ditissimus est qui bene est cum Jesu.	2. What can the world profit thee without Jesus? To be without Jesus is the nethermost hell, and to be with Jesus is sweet paradise. If Jesus were with thee no enemy could hurt thee. He who findeth Jesus findeth a good treasure, yea, good above all good; and he who loseth Jesus loseth exceeding much, yea, more than the whole world. Most poor is he who liveth without Jesus, and most rich is he who is much with Jesus.
3. Magna ars est scire conversari cum Jesu, et scire Jesum tenere, magna prudentia. Esto humilis et pacificus, et erit tecum Jesus. Sis devotus et quietus, et permanebit tecum Jesus. Potes cito fugare Jesum, et gratiam ejus perdere, si volueris ad exteriora declinare. Et si illum effugaveris et perdideris, ad quem tunc fugies, et quem tunc quæres amicum? Sine amico non potes diu vivere. Et si Jesus non fuerit tibi præ omnibus amicus, eris nimis tristis, et desolatus. Fatue igitur agis, si in aliquo altero confidis et lætaris. Eligendum est magis habere totum mundum contrarium, quam Jesum offensum. Ex omnibus ergo charis sit Jesus dilectus specialis.	3. It is great skill to know how to live with Jesus, and to know how to hold Jesus is great wisdom. Be thou humble and peaceable and Jesus shall be with thee. Be godly and quiet, and Jesus will remain with thee. Thou canst quickly drive away Jesus and lose His favour if thou wilt turn away to the outer things. And if thou hast put Him to flight and lost Him, to whom wilt thou flee, and whom then wilt thou seek for a friend? Without a friend thou canst not live long, and if Jesus be not thy friend above all thou shalt be very sad and desolate. Madly therefore doest thou if thou trusteth or findest joy in any other. It is preferable to have the whole world against thee, than Jesus offended with thee. Therefore of all that are dear to thee, let Jesus be specially loved.
4. Diligantur homines propter Jesum, Jesus autem propter se ipsum. Solus Jesus Christus singulariter est amandus, qui bonus solus et fidelis invenitur præ omnibus amicis. Propter ipsum et in ipso tam amici quam inimici tibi sint chari et pro omnibus his exorandus est, ut omnes ipsum cognoscant et diligant. Nunquam cupias singulariter laudari et amari, quia hoc solius Dei est, qui similem sibi non habet. Nec velis quod aliquis in corde tuo tecum occupetur, neque tu cum alicujus occuperis amore. Sed sit Jesus in te, et in omni bono homine.	4. Let all be loved for Jesus’ sake, but Jesus for His own. Jesus Christ alone is to be specially loved, for He alone is found good and faithful above all friends. For His sake and in Him let both enemies and friends be dear to thee, and pray for them all that they may all know and love Him. Never desire to be specially praised or loved, because this belongeth to God alone, who hath none like unto Himself. Nor wish thou that any one set his heart on thee, nor do thou give thyself up to the love of any, but let Jesus be in thee and in every good man.
5. Esto purus, et liber intus, sine alicujus creaturæ implicamento. Oportet te esse nudum, et purum cor ad Jesum gerere, si vis vacare, etvidere, quam suavis est Dominus.Et revera ad hoc non pervenies, nisi gratia ejus fueris præventus, et introtractus, ut omnibus evacuatis et licentiatis, solus cum Deo uniaris. Quando enim gratia Dei venit ad hominem, tunc potens sit ad omnia. Et quando recedit, tunc pauper et infirmus erit, et quasi tantum ad flagella relictus. In his non debes dejici, nec desperare, sed ad voluntatem Dei æquanimiter stare, et cuncta supervenientia tibi ad laudem Jesu Christi perpeti. Quia post hiemem sequitur aestas, post nectem redit dies, et post tempestatem serenitas magna.	5. Be pure and free within thyself, and be not entangled by any created thing. Thou oughtest to bring a bare and clean heart to God, if thou desirest to be ready to see how gracious the Lord is. And in truth, unless thou be prevented and drawn on by His grace, thou wilt not attain to this, that having cast out and dismissed all else, thou alone art united to God. For when the grace of God cometh to a man, then he becometh able to do all things, and when it departeth then he will be poor and weak and given up unto troubles. In these thou art not to be cast down nor to despair, but to rest with calm mind on the will of God, and to bear all things which come upon thee unto the praise of Jesus Christ; for after winter cometh summer, after night returneth day, after the tempest a great calm.
Cap. 9. De carentia omnis solatii.	CHAPTER IX Of the lack of all comfort
1. Non est grave humanum contemnere solatium, cum adest divinum. Magnum est, et valde magnum, tam humano quam divino posse carere solatio et pro amore Dei libenter exilium cordis velle sustinere et in nullo se ipsum quærere, nec ad proprium meritum respicere. Quid magis es, si hilaris si, et devotus adveniente gratia? Optabilis cunctis hæc hora. Satis suaviter equitat quem gratia Dei portat. Et quid mirum si onus non sentit, qui portatur ab Omnipotente, et ducitur a summo Ductore?	1. It is no hard thing to despise human comfort when divine is present. It is a great thing, yea very great, to be able to bear the loss both of human and divine comfort; and for the love of God willingly to bear exile of heart, and in nought to seek oneself, nor to look to one’s own merit. What great matter is it, if thou be cheerful of heart and devout when favour cometh to thee? That is an hour wherein all rejoice. Pleasantly enough doth he ride whom the grace of God carrieth. And what marvel, if he feeleth no burden who is carried by the Almighty, and is led onwards by the Guide from on high?
2. Libenter aliquid habemus pro solatio, et homo difficulter exuitur a se ipso. Vicit sanctus Laurentius sæculum, cum Summo Sacerdote, quia omne, quod in mundo delectabile videbatur despexit, et Dei Summum Sacerdotem Sixtem, quem maxime diligebat, pro amore Christi etiam a se tolli clementer ferebat. Amore igitur Creatoris amorem hominis superavit, et pro humano solatio divinum beneplacitum magis elegit. Ita et tu aliquem necessarium, et dilectum amicum pro amore Dei disce relinquere. Nec graviter feras cum ab amico fueris derelictus, sciens quoniam oportet nos omnes tandem ab invicem separari.	2. We are willing to accept anything for comfort, and it is difficult for a man to be freed from himself. The holy martyr Laurence overcame the love of the world and even of his priestly master, because he despised everything in the world which seemed to be pleasant; and for the love of Christ he calmly suffered even God’s chief priest, Sixtus, whom he dearly loved, to be taken from him. Thus by the love of the Creator he overcame the love of man, and instead of human comfort he chose rather God’s good pleasure. So also learn thou to resign any near and beloved friend for the love of God. Nor take it amiss when thou hast been deserted by a friend, knowing that we must all be parted from one another at last.
3. Multum et diu oportet hominem in se ipso certare, antequam discat se ipsum plene superare, et totum affectum suum plene in Deum trahere. Quando homo stat super se ipsum, facile labitur ad consolationes humanas. Sed verus Christi amator, et studiosus sectator virtutum non cadit super illas consolationes, nec quærit tales sensibiles dulcedines. Sed magis fortes tentationes et exercitationes, et pro Christo duros sustinere labores.	3. Mightily and long must a man strive within himself before he learn altogether to overcome himself, and to draw his whole affection towards God. When a man resteth upon himself, he easily slippeth away unto human comforts. But a true lover of Christ, and a diligent seeker after virtue, falleth not back upon those comforts, nor seeketh such sweetness as may be tasted and handled, but desireth rather hard exercises, and to undertake severe labours for Christ.
4. Cum igitur spiritualis consolatio a Deo datur, cum gratiarum actione accipe eam et Dei munus intellige esse, et non tuum meritum et noli extolli. Noli nimium gaudere nec inaniter præsumere, sed esto magis humilior ex dono, cautior quoque et timoratior in cunctis actibus tuis, quoniam transibit hora illa, et sequetur tentatio. Cum ablata fuerit consolatio, non statim desperes, sed cum humilitate, et patientia exspecta cælestem visitationem, quia potens est Deus ampliorem tibi redonare gratiam et consolationem. Istud non est novum, nec alienum viam Dei expertis, quia in magnis sanctis, et in antiquis prophetis suit sæpe alternationis modus.	4. When, therefore, spiritual comfort is given by God, receive it with giving of thanks, and know that it is the gift of God, not thy desert. Be not lifted up, rejoice not overmuch nor foolishly presume, but rather be more humble for the gift, more wary and more careful in all thy doings; for that hour will pass away, and temptation will follow. When comfort is taken from thee, do not straightway despair, but wait for the heavenly visitation with humility and patience, for God is able to give thee back greater favour and consolation. This is not new nor strange to those who have made trial of the way of God, for with the great saints and the ancient prophets there was often this manner of change.
5. Unde quidam præsente jam gratia dicebat:Ego dixi in abundantia mea non movebor in æternum.Absente autem gratia quid in se fuerit expertus, adjungit dicens:Avertisti faciem tuam a me, et factus sum conturbatus.Inter hæc tamen nequaquam desperat, sed instantius Dominum rogat, et dicit:Ad te, Domine, clamabo, et ad Deum meum deprocabor.Denique orationis suæ fructum reportat, et se exauditum testatur dicens:Audivit Dominus et misertus est mei, Dominus factus est adjutor meus.Sed in quo?Convertisti,inquit,planctum meum in gaudium mihi, et circumdedisti me lætitia.Et si sic actum est cum magnis Sanctis, non est desperandum nobis informis et pauperibus, si interdum in frigiditate, et interdum in fervore sumus. Quoniam spiritus venit, et recedit, secundum suæ voluntatis beneplacitum.  Unde beatus Job ait:Visitas eum iluculo, et subito probas illum.	5. Wherefore one said when the favour of God was present with him, I said in my prosperity I shall never be moved, but he goeth on to say what he felt within himself when the favour departed: Thou didst turn Thy face from me, and I was troubled. In spite whereof he in no wise despaireth, but the more instantly entreateth God, and saith, Unto Thee, O Lord, will I cry, and will pray unto my God; and then he receiveth the fruit of his prayer, and testifieth how he hath been heard, saying, The Lord heard me and had mercy upon me, the Lord was my helper. But wherein? Thou hast turned my heaviness into joy, Thou hast put off my sackcloth and girded me with gladness. If it was thus with the great saints, we who are poor and needy ought not to despair if we are sometimes in the warmth and sometimes in the cold, for the Spirit cometh and goeth according to the good pleasure of His will. Wherefore holy Job saith, Thou dost visit him in the morning, and suddenly Thou dost prove him.
6. Super quid igitur sperare possum, aut in quo confidere debeo, nisi in sola magna misericordia Domini, et in sola spe gratiæ cælestis? Sive enim adsint homines boni sive devoti fratres, et amici fideles, sive libri sancti, vel tractatus pulchri, sive dulces cantus et hymni, omnia hæc modicum juvant, et modicum sapiunt, quando sum defertus a gratia, et in propria paupertate relictus. Tunc non est melius remedium quam patientia, et abnegatio mei in voluntate Dei.	6. Whereupon then can I hope, or wherein may I trust, save only in the great mercy of God, and the hope of heavenly grace? For whether good men are with me, godly brethren or faithful friends, whether holy books or beautiful discourses, whether sweet hymns and songs, all these help but little, and have but little savour when I am deserted by God’s favour and left to mine own poverty. There is no better remedy, then, than patience and denial of self, and an abiding in the will of God.
7. Nunquam inveni aliquem Religiosum, qui non habuerit interdum gratiæ subtractionem, aut non senserit fervoris diminutionem. Nullus Sanctus fuit tam alte raptus, vel illuminatus, qui prius vel postea non fuerit tentatus. Non enim alta Dei contemplatione dignus est, qui pro Deo non est exercitatus aliqua tribulatione. Solet enim sequentis consolationis tribulatio præcedens esse signum. Nam tentationibus probatis cælestis promittitur consolatio.Qui vicerit,inquit,dabo ei edere de ligno vitæ.	7. I have never found any man so religious and godly, but that he felt sometimes a withdrawal of the divine favour, and lack of fervour. No saint was ever so filled with rapture, so enlightened, but that sooner or later he was tempted. For he is not worthy of the great vision of God, who, for God’s sake, hath not been exercised by some temptation. For temptation is wont to go before as a sign of the comfort which shall follow, and heavenly comfort is promised to those who are proved by temptation. As it is written, To him that overcometh I will give to eat of the tree of life.
8. Datur etiam consolatio divina, ut homo fortior sit ad sustinendum adversa. Sequitur etiam tentatio, ne se elevet de bono. Non dormit diabolus, nec caro adhuc mortua est. Ideo non cesses te præparare ad certamen, quia a dextris et a sinistris sunt hostes qui nunquam quiescunt.	8. Divine comfort is given that a man may be stronger to bear adversities. And temptation followeth, lest he be lifted up because of the benefit. The devil sleepeth not; thy flesh is not yet dead; therefore, cease thou not to make thyself ready unto the battle, for enemies stand on thy right hand and on thy left, and they are never at rest.
Cap. 10. De gratitudine progratia Dei.	CHAPTER X Of gratitude for the Grace of God
1. Quid quæris quietem, cum natus sis ad laborem, ad patientiam magis quam ad consolationem, et ad crucem portandam magis quam ad lætitiam? Quis etiam sæcularium non libenter consoltionem et lætitiam spiritualiem acciperet, si semper obtinere posset? Excedunt enim spirituales consolationes omnes mundi delicias et carnis voluptates. Nam omnes deliciæ mundanæ aut turpes, aut vanæ sunt. Spirituales vero deliciæ solæ sunt jucundæ et honestæ ex virtutibus progenitæ, et a Deo puris infusæ mentibus. Sed istis divnis consolationibus nemo semper pro suo affectu frui valet, quia tempus tentationis non diu cessat.	1. Why seekest thou rest when thou art born to labour? Prepare thyself for patience more than for comforts, and for bearing the cross more than for joy. For who among the men of this world would not gladly receive consolation and spiritual joy if he might always have it? For spiritual comforts exceed all the delights of the world, and all the pleasures of the flesh. For all worldly delights are either empty or unclean, whilst spiritual delights alone are pleasant and honourable, the offspring of virtue, and poured forth by God into pure minds. But no man can always enjoy these divine comforts at his own will, because the season of temptation ceaseth not for long.
2. Multum contrariatur supernæ visitationi salsa libertas animi, et magna confidentia sui. Deus benefacit consolatinis gratiam dando, sed homo male facit non statim Deo cum gratiarum actione retribuendo. Et ideo non possunt in nobis dona gratiæ fluere, quia ingrati sumus auctori, nec totum refundimus fontali origini. Semper enim debetur gratia digne gratias agenti sive referenti. Auferetur ab elato, quod dari solet humili.	2. Great is the difference between a visitation from above and false liberty of spirit and great confidence in self. God doeth well in giving us the grace of comfort, but man doeth ill in not immediately giving God thanks thereof. And thus the gifts of grace are not able to flow unto us, because we are ungrateful to the Author of them, and return them not wholly to the Fountain whence they flow. For grace ever becometh the portion of him who is grateful and that is taken away from the proud, which is wont to be given to the humble.
3. Nolo consolationem quæ mihi auferat compunctionem, nec affecto contemplationem, quæ ducit in elationem. Non enim omne altum sanctum, nec omne desiderium purum, nec omne dulce bonum, nec omne carum gratum Deo. Libenter accepto gratiam unde humilior, et timoratior inveniar atque ad relinquendum me paratior fiam. Doctus dono gratiæ, et eruditus subtractionis verbere non sibi audebit, quidquam boni attribuere, sed potius se pauperem, et nudum confitebitur.Da Deo quidquid Dei est,et tibi adscribe, quod tuum est. Hoc est Deo gratias pro gratia tribue, tibi autem soli culpam, et dignam pœnam pro culpa deberi sentias.	3. I desire no consolation which taketh away from me compunction, I love no contemplation which leadeth to pride. For all that is high is not holy, nor is everything that is sweet good; every desire is not pure; nor is everything that is dear to us pleasing unto God. Willingly do I accept that grace whereby I am made humbler and more wary and more ready to renounce myself. He who is made learned by the gift of grace and taught wisdom by the stroke of the withdrawal thereof, will not dare to claim any good thing for himself, but will rather confess that he is poor and needy. Give unto God the thing which is God’s, and ascribe to thyself that which is thine; that is, give thanks unto God for His grace, but for thyself alone confess thy fault, and that thy punishment is deserved for thy fault.
4. Pone te semper ad infimum, et dabitur tibi summum. Nam summum non stat sine infimo. Summi Sancti apud Deum minimi sunt apud se, et quanto gloriosiores, tanto in se humiliores; pleni veritate et gloria cælesti, non vanæ gloriæ cupidi et in Deo fundati et confirmati, nullo modo possunt esse elati. Et qui Deo totum adscribunt quidquid boni acceperunt, gloriam ab invicem non quærunt. Sedgloriam quæ a Deo estvolunt, et Deum quærunt in se, et in omnibus Sanctis laudari super omnia cupiunt, et semper in ipsum tendunt.	4. Sit thou down always in the lowest room and thou shalt be given the highest place. For the highest cannot be without the lowest. For the highest saints of God are least in their own sight, and the more glorious they are, so much the lowlier are they in themselves; full of grace and heavenly glory, they are not desirous of vain-glory; resting on God and strong in His might, they cannot be lifted up in any wise. And they who ascribe unto God all the good which they have received, “seek not glory one of another, but the glory which cometh from God only,” and they desire that God shall be praised in Himself and in all His Saints above all things, and they are always striving for this very thing.
5. Esto igitur gratus in minimo, et eris dignus majora accipere. Sit tibi minimum pro maximo et contemtibile pro speciali dono. Si dignitas datoris inspicitur, nullum datum parvum aut minus vile videbitur. Non enim parvum est quod a summo Deo donatur, etiam si pœnas et verbera donaverit, gratum esse debet, quia semper pro salute nostra facit quidquid nobis advenire permittit. Qui gratiam Dei retinere desiderat, sit gratus pro gratia Dei data, patiens pro sublata, oret ut reddatur, cautus sit et humilis ne amittat.	5. Be thankful, therefore, for the least benefit and thou shalt be worthy to receive greater. Let the least be unto thee even as the greatest, and let that which is of little account be unto thee as a special gift. If the majesty of the Giver be considered, nothing that is given shall seem small and of no worth, for that is not a small thing which is given by the Most High God. Yea, though He gave punishment and stripes, we ought to be thankful, because He ever doth for our profit whatever He suffereth to come upon us. He who seeketh to retain the favour of God, let him be thankful for the favour which is given, and patient in respect of that which is taken away. Let him pray that it may return; let him be wary and humble that he lose it not.
Cap. 11. De paucitate amatorum crucis.	CHAPTER XI Of the fewness of those who love the Cross of Jesus
1. Habet autem Jesus multos amatores sui regnis cælestis, sed paucos bajulatores suæ crucis. Plures invenit socios mensæ sed paucos abstinentiæ. Omnes volunt cum Christo gaudere, sed pauci volunt aliquid pro ipso sustinere. Multi sequuntur Jesum usque as fractionem panis, sed pauci ad bibendum calicem passionis. Multi miracula ejus venerantur, sed pauci ignominias crucis sequuntur. Multi Jesum diligunt, quamdiu adversa non contingunt. Multi illum laudant et benedicunt, quamdiu consolationes aliquas ab ipso recipiunt. Si autem Jesus se abscondiderit, et modicum eos reliquerit, aut in querimoniam aut in dejectionem nimiam cadunt.	1. Of the fewness of those who love the Cross of Jesus Jesus hath many lovers of His heavenly kingdom, but few bearers of His Cross. He hath many seekers of comfort, but few of tribulation. He findeth many companions of His table, but few of His fasting. All desire to rejoice with Him, few are willing to undergo anything for His sake. Many follow Jesus that they may eat of His loaves, but few that they may drink of the cup of His passion. Many are astonished at His Miracles, few follow after the shame of His Cross. Many love Jesus so long as no adversities happen to them. Many praise Him and bless Him, so long as they receive any comforts from Him. But if Jesus hide Himself and withdraw from them a little while, they fall either into complaining or into too great dejection of mind.
2. Qui autem Jesum propter Jesum, et non propter aliquam suam consolationem propriam diligunt, ipsum in tribulatione, et in angustia cordis, sicut in summa consolatione diligunt, et benedicunt. Et si eis consolationem nunquam dare vellet, ipsum tamen laudarent, et semper gratias agere vellent.	2. But they who love Jesus for Jesus’ sake, and not for any consolation of their own, bless Him in all tribulation and anguish of heart as in the highest consolation. And if He should never give them consolation, nevertheless they would always praise Him and always give Him thanks.
3. O, quantum potest amor Jesu purus, nullo propio commodo vel amore permixtus. Nonne omnes mercenarii sunt dicendi, qui consolationes semper quærunt? Nonne amatores sui magis quam Jesu probantur qui sua commoda vel lucra semper meditantur? Ubi invenitur talis, qui velit servire Deo gratis?	3. Oh what power hath the pure love of Jesus, unmixed with any gain or love of self! Should not all they be called mercenary who are always seeking consolations? Do they not prove themselves lovers of self more than of Christ who are always seeking their own gain and advantage? Where shall be found one who is willing to serve God altogether for nought?
4. Raro invenitur tam spiritualis aliquis qui omnibus sit nudatus. Nam verum spiritu pauperem ab omni creatura nudum quis inveniet?Procul et de omnibus finibus pretium ejus.Si dederit homo omnem substantiam suam, adhuc nihil est. Et si fecerit pœnitentiam magnam, adhuc exiguum est. Et si apprehenderit omnem scientiam, adhuc longe est. Et si habuerit virtutem magnam, et devotionem nimis ardentem, adhuc sibi multum deest. Unum scilicet, quod sibi summe necessarium est. Quid illud? Ut omnibus relictis se relinquat, et a se totaliter exeat, nihilque de privato amore retineat. Cum omnia fecerit quæ facienda noverit, nihil se fecisse sentiat.	4. Rarely is any one found so spiritual as to be stripped of all selfish thoughts, for who shall find a man truly poor in spirit and free of all created things? “His value is from afar, yea from the ends of the earth.” A man may give away all his goods, yet that is nothing; and if he do many deeds of penitence, yet that is a small thing; and though he understand all knowledge, yet that is afar off; and if he have great virtue and zealous devotion, yet much is lacking unto him, yea, one thing which is the most necessary to him of all. What is it then? That having given up all things besides, he give up himself and go forth from himself utterly, and retain nothing of self-love; and having done all things which he knoweth to be his duty to do, that he feel that he hath done nothing.
5. Non grande ponderet quod grandis extimari possit, sed in veritate fervum inutilem se pronunciet. Sicut veritas ait:Cum feceritis omnia quæ nobis præcepta sunt, adhuc dicite, quia servi inutiles sumus.Tunc vero pauper, et nudus spiritu esse poterit, et cum Propheta dicere:Quia unicus et pauper sum ego.Nemo isto ditior, nemo tam liberior, nemo potentior eo, qui scit se et omnia relinquere et ad infimum se ponere.	5. Let him not reckon that much which might be much esteemed, but let him pronounce himself to be in truth an unprofitable servant, as the Truth Himself saith, When ye have done all things that are commanded you, say, we are unprofitable servants. Then may he be truly poor and naked in spirit, and be able to say with the Prophet, As for me, I am poor and needy. Nevertheless, no man is richer than he, no man stronger, no man freer. For he knoweth both how to give up himself and all things, and how to be lowly in his own eyes.
Cap. 12. De regia via sanctae crucis.	CHAPTER XII Of the royal way of the Holy Cross
1. Durus hic multis videtur sermo.Abnego temet ipsum, tolle crucem tuam et sequere Jesum.Sed multo durius erit audire illud extremum verbum:Discedite a me, omnes maledicti, in ignem æternum.Qui enim modo libenter audiunt verbum crucis, et sequuntur, tunc non timebunt ab auditione æternæ damnationis. Hoc signum crucis erit in cælo, cum Dominus ad judicandum venerit. Tunc omnes servi crucis, qui se Crucifixo conformaverunt in vita, ad Christum accedent judicem cum magna fiducia.	1. That seemeth a hard saying to many, If any man will come after Me, let him deny himself and take up his Cross and follow Me. But it will be much harder to hear that last sentence, Depart from me, ye wicked, into eternal fire. For they who now willingly hear the word of the Cross and follow it, shall not then fear the hearing of eternal damnation. This sign of the Cross shall be in heaven when the Lord cometh to Judgment. Then all servants of the Cross, who in life have conformed themselves to the Crucified, shall draw nigh unto Christ the Judge with great boldness.
