Liber Quartus: De Sacramento Altaris.	THE FOURTH BOOK: ON THE SACRAMENT OF THE ALTAR
2. Et licet indignus sum omnia illa sentimenta devotionis habere, tamen offero tibi totum cordis mei affectum, ac si omnia illa gratissime inflammata desideria solus haberem. Sed et quæcumque potest pia mens concipere et desiderare, hæc omnia tibi cum summa veneratione et intimo servore præbeo et offero. Nihil opto reservare mihi, sed me et omnia mea tibi sponte et libentissime immolare. Domine Deus meus, creator meus et redemtor meus, cum tali gratitudine, dignitate et amore, cum tali spe, fide, et puritate affecto te hodie suscipere, sicut te suscepti et desideravit sanctissima Mater tua, gloriosa Virgo Maria, quando Angelo evangelizanti sibi incarnationis tuæ mysterium humiliter et devote respondit:Ecce ancilla Domini, fiat mihi secundum verbum tuum.	2. And although I be unworthy to have all those feelings of devotion, yet do I offer Thee the whole affection of my heart, even as though I alone had all those most grateful inflamed desires. Yea, also, whatsoever things a pious mind is able to conceive and long for, all these with the deepest veneration and inward fervour do I offer and present unto Thee. I desire to reserve nothing unto myself, but freely and entirely to offer myself and all that I have unto Thee for a sacrifice. O Lord my God, my Creator and Redeemer! with such affection, reverence, praise, and honour, with such gratitude, worthiness, and love, with such faith, hope, and purity do I desire to receive Thee this day, as Thy most blessed Mother, the glorious Virgin Mary, received and desired Thee, when she humbly and devoutly answered the Angel who brought unto her the glad tidings of the mystery of the Incarnation. Behold the handmaid of the Lord; be it unto me according to thy word.
3. Et sicut beatus Præcursor tuus excellentissimus Sanctorum, Johannes Baptista, in præsentia tua lætabundus exultavit in gaudio Spiritus Sancti, dum adhuc maternis clauderetur visceribus. Et postmodum cernens inter homines Jesum ambulantem, valde se humilians, devoto cum affectu dicebat:Amicus autem sponsi, qui stat et audit cum gaudio, gaudet propter vocem sponsi:sic et ego magnis et sacris desideriis opto inflammari, et tibi ex toto corde me ipsum præsentare. Unde et omnium devotorum cordium jubilationes, ardentes affectus, mentales excessus, ac supernales illuminationes et cælica visiones tibi offero et exhibeo cum omnibus virtutibus et laudibus, ab omni creatura in cælo et in terra celebratis et celebrandis, pro me et omnibus mihi in oratione commendatis, quatenus ab omnibus digne lauderis, et in perpetuum glorificeris.	3. And as Thy blessed forerunner, the most excellent of Saints, John Baptist, being full of joy in Thy presence, leapt while yet in the womb of his mother, for joy in the Holy Ghost; and afterwards discerning Jesus walking amongst men, humbled himself exceedingly, and said, with devout affection, The friend of the bridegroom, who standeth and heareth him, rejoiceth greatly because of the bridegroom’s voice; even so I wish to be inflamed with great and holy desires, and to present myself unto Thee with my whole heart. Whence also, on behalf of myself and of all commended to me in prayer, I offer and present unto Thee the jubilation of all devout hearts, their ardent affections, their mental ecstasies, and supernatural illuminations and heavenly visions, with all the virtues and praises celebrated and to be celebrated by every creature in heaven and earth; to the end that by all Thou mayest worthily be praised and glorified for ever.
4. Accipe vota mea, Domine Deus meus, et desideria infinitæ laudationis et immensæ benedictionis, quætibi secundum multitudinem ineffabilis magnitudinis tuæ jure debentur. Hæc tibi reddo et reddere desidero per singulos dies et momenta temporum, atque ad reddendum mecum tibi gratias et laudes, omnes cælestes spiritus et cunctos fideles tuos precibus et affectibus invito et exoro.	4. Receive my prayers, O Lord my God, and my desires of giving Thee infinite praise and unbounded benediction, which, according to the multitude of Thine unspeakable greatness, are most justly due unto Thee. These do I give Thee, and desire to give every day and every moment; and with beseechings and affectionate desires I call upon all celestial spirits and all Thy faithful people to join with me in rendering Thee thanks and praises.
5. Laudent te universi populi, tribus, et linguæ, et sanctum et mellifluum nomen tuum cum summa devotione et ardenti jubilatione magnificent. Et quicumque reverenter ac devote altissimum Sacramentum tuum celebrant et plena fide recipiunt, gratiam et misericordiam apud te invenire mereantur, et pro me peccatore suppliciter exorent. Cumque optata devotione ac fruibili unione potiti fuerint, et bene consolati, ac mirifice refecti de sacra mensa cælesti abscesserint mei pauperis recordari dignentur.	5. Let all peoples, nations, and tongues praise Thee, and magnify Thy holy and sweet-sounding Name, with highest jubilations and ardent devotion. And let all who reverently and devoutly celebrate Thy most high Sacrament, and receive it with full assurance of faith, be accounted worthy to find grace and mercy with Thee, and intercede with all supplication for me a sinner; and when they shall have attained unto their wished-for devotion and joyous union with Thee, and shall depart full of comfort and wondrously refreshed from Thy holy, heavenly table, let them vouchsafe to be mindful of me, for I am poor and needy.
Cap. 18. Quod homo non sit curiosus scrutator Sacramenti, sed humilis imitator Christi, subdendo sensum suum sacræ fidei.	CHAPTER XVIII That a man should not be a curious searcher of the Sacrament, but a humble imitator of Christ, submitting his sense to holy faith
1. Cavendum est tibi a curiosa et inutili perscrutatione hujus profundissimi Sacramenti, si non vis in dubitationis profundum mergi.Qui scrutator est majestatis, opprimetur a gloria.Plus valet Deus operari, quam homo intelligere potest. Tolerabilis est pia et humilis inquisitio veritatis, parata semper doceri, et super sanas Patrum sententias studentis ambulare.	1. Thou must take heed of curious and useless searching into this most profound Sacrament, if thou wilt not be plunged into the abyss of doubt. He that is a searcher of Majesty shall be oppressed by the glory thereof. God is able to do more than man can understand. A pious and humble search after truth is to be allowed, when it is always ready to be taught, and striving to walk after the wholesome opinions of the fathers.
2. Beata simplicitas, quæ difficiles quæstionum relinquit vias, et plana ac firma pergit semita mandatorum Dei. Multi devotionem perdiderunt, dum altiora scrutari voluerunt. Fides a te exigitur et sincera vita, non altitudo intellectus, neque profunditas mysteriorum Dei. Si non intelligis nec capis quæ infra te sunt, quomodo comprehendes quæ supra te sunt. Subdere Deo et humilia sensum tuum fidei, et dabitur tibi scientiæ lumen, prout tibi fuerit utile et necessarium.	2. Blessed is the simplicity which leaveth alone the difficult paths of questionings, and followeth the plain and firm steps of God’s commandments. Many have lost devotion whilst they sought to search into deeper things. Faith is required of thee, and a sincere life, not loftiness of intellect, nor deepness in the mysteries of God. If thou understandest not nor comprehendest the things which are beneath thee, how shalt thou comprehend those which are above thee? Submit thyself unto God, and humble thy sense to faith, and the light of knowledge shall be given thee, as shall be profitable and necessary unto thee.
3. Quidam graviter tentantur de fide ac Sacramento, sed non est hoc ipsis imputandum, sed potius inimico. Noli curare, noli disputare cum cogitationibus tuis, nec ad immissas a diabolo disputationes et dubitationes responde. Sed crede verbis Dei. Crede Sanctis ejus et prophetis, et fugiet a te nequam inimicus. Sæpe enim ultum prodest, quod sustinet talia servus Dei. Nam infideles et peccatores non tentat, quos secure jam possidet: Fideles autem devotos variis modis tentat et vexat.	3. There are some who are grievously tempted concerning faith and the Sacrament; but this is not to be imputed to themselves but rather to the enemy. Care not then for this, dispute not with thine own thoughts, nor make answer to the doubts which are cast into thee by the devil; but believe the words of God, believe His Saints and Prophets, and the wicked enemy shall flee from thee. Often it profiteth much, that the servant of God endureth such things. For the enemy tempteth not unbelievers and sinners, because he already hath secure possession of them; but he tempteth and harasseth the faithful and devout by various means.
4. Perge ergo cum simplici et indubitata fide, et cum simplici reverentia ad Sacramentum accede. Quidquid intelligere non vales, Deo omnipotenti secure committe. Non fallit te Deus; fallitur qui sibi nimium credit. Graditur Deus cum simplicibus, revelat se humilibus, dat intellectum parvulis, aperit sensum puris mentibus, et abscondit gratiam curiosis et superbis. Ratio humana debilis est, et falli potest; fides autem vera falli non potest.	4. Go forward therefore with simple and undoubting faith, and draw nigh unto the Sacrament with supplicating reverence. And whatsoever thou art not enabled to understand, that commit without anxiety to Almighty God. God deceiveth thee not; he is deceived who believeth too much in himself. God walketh with the simple, revealeth Himself to the humble, giveth understanding to babes, openeth the sense to pure minds, and hideth grace from the curious and proud. Human reason is weak and may be deceived; but true faith cannot be deceived.
5. Omnis ratio et naturalis investigatio fidem sequi debet, non præcedere, nec infringere. Nam fides et amor ibi maxime præcellunt, et occultis modis in hoc sanctissimo et superexcellentissimo Sacramento operantur. Deus æternus, et immensus, infinitæque potentiæ, facit magna et inscrutabilia in cælo et in terra; nec est investigatio mirabilium opera ejus. Si talia essent opera Dei, ut facile ab humana ratione caperentur, non essent mirabilia nec inscrutabilia dicenda.	5. All reason and natural investigation ought to follow faith, not to precede, nor to break it. For faith and love do here especially take the highest place, and work in hidden ways in this most holy and exceeding excellent Sacrament. God who is eternal and incomprehensible, and of infinite power, doth great and inscrutable things in heaven and in earth, and His wonderful works are past finding out. If the works of God were of such sort that they might easily be comprehended by human reason, they should no longer be called wonderful or unspeakable.
